x,Lab Frame (keV) vs Cross Section
428.3077,3.1349
428.688,3.1839
429.0954,3.282
429.4846,3.4414
429.7652,3.5518
429.9551,3.6989
430.1451,3.8215
430.3623,3.9074
430.5341,4.0422
430.7328,4.3243
430.9226,4.5327
431.1124,4.7657
431.3202,5.0477
431.5095,5.4646
431.7077,5.9918
431.9059,6.5436
432.0858,7.1812
432.2836,7.9292
432.472,8.7875
432.6785,9.7071
432.8668,10.688
433.0562,11.0559
433.2547,11.4605
433.4452,11.3011
433.645,11.0681
433.8367,10.3079
434.0468,9.4619
434.2388,8.579
434.4396,7.8065
434.6313,7.0708
434.8319,6.4332
435.0232,5.8569
435.2324,5.4523
435.4233,5.109
435.6142,4.7534
435.823,4.545
436.0229,4.2384
436.2225,4.0668
436.413,3.9196
436.6125,3.8093
436.8121,3.6621
437.0116,3.5518
437.2109,3.5272
437.4195,3.4046
437.8998,3.2698
